gesture,person,trial,uwb_distance_mean,uwb_distance_std,uwb_distance_min,uwb_distance_max,uwb_distance_energy,uwb_distance_slope,uwb_direction_changes
counterclockwise,akshat,13_aug1,96.47489455894134,47.49571402728143,22.282394314698827,164.55622015230418,1788890.408589836,6.833004175821328,59.36286225638369
counterclockwise,akshat,14_aug1,92.1762100126659,43.11666587477645,25.946734002200134,165.72542770537223,1564712.0681104746,5.910593484166168,50.76915493946208
counterclockwise,akshat,15_aug1,92.5839191377417,44.134786968834746,25.624102003851135,165.05454042809447,1683098.2421410105,6.068337630944108,58.10875994867176
counterclockwise,akshat,16_aug1,93.78442717067973,43.00356283592147,29.19436707209638,169.13514309885127,1643406.0343871822,-2.3921882464859943,51.37809291046405
counterclockwise,akshat,17_aug1,100.33206323761846,41.90136517364768,35.75642439930483,171.76322075251068,1706309.8489404926,40.82557677846534,50.26775475528811
counterclockwise,akshat,18_aug1,111.24404445835565,37.72573600122837,38.03948156574388,160.84821569743033,2115714.3185592727,-32.90035852213027,62.35889593531269
counterclockwise,akshat,19_aug1,97.93158437808177,41.62375680180676,26.15245159394512,172.67864881794605,1799172.265529353,28.0053701944696,43.06896873046537
counterclockwise,akshat,20_aug1,101.40147476045439,36.28895777551716,27.955302104527398,156.87703272824626,1755934.426396494,42.26104040651637,52.52079007896101
pull,sai,1_aug1,59.03589913906257,21.300578847287166,39.488334375540866,162.56929762602283,942787.8451612719,-9.629740939651876,119.47189200409038
pull,sai,3_aug1,52.010424558381494,21.63620640072861,24.61878404462371,149.05625148957228,368016.9366251737,2.582833599054416,67.21069057055222
pull,sai,4_aug1,60.375736758324344,14.092768472167092,3.0822769639361947,159.65139117008835,955478.1102736089,17.481933299054127,125.42827209524566
pull,sai,6_aug1,39.069932360033235,16.580539740003992,11.174843488340926,78.26448167742566,459022.7055834433,21.52306899103135,102.069537851358
pull,sai,8_aug1,48.06882793324385,20.968175919721045,16.05935208913136,83.7212724026523,89007.7795203725,-13.517447212257846,5.157479731928676
pull,sai,9_aug1,40.734822222932095,10.737846085310572,20.33382900263463,87.0021745399666,489981.00263178337,-35.21922533941014,118.3042249009689
pull,sai,11_aug1,39.11919217532539,21.073418429771934,2.8414870243472206,117.35574106028938,303383.43521183706,-0.12786728010906012,53.5750636164078
pull,sai,13_aug1,41.17774724820884,17.776227451066255,19.650306648659246,99.51235631350987,309955.2112999374,-11.842403536000372,79.15530615557653
pull,sai,15_aug1,50.92397956445075,16.03428143560013,25.422880780577806,100.97115054958799,371246.17317468143,6.450792410284649,56.21809645135614
pull,sai,17_aug1,50.06559392820267,15.488431721137271,21.51123836876116,91.38181639795573,485842.4052252239,14.764365534408721,89.1174815913598
pull,sai,18_aug1,49.978091772827085,18.761758903903946,25.0091350996162,95.41728252339199,650212.2472827662,0.6076441640218833,116.79756998498084
pull,sai,20_aug1,51.19331759033438,23.81825998648359,0.43945782664430044,174.8864094157192,485966.079019487,16.77295032497493,59.94033793650295
pull,sai,21_aug1,46.31805455373913,15.983750540221097,17.792503789253622,86.16845193192627,649073.772938683,-14.274897010067729,105.76707348814294
pull,sai,23_aug1,59.905725368219066,14.670841995764551,38.756897166339485,107.49757414773407,765131.4987234025,-24.325308460071682,95.801352873764
pull,sai,25_aug1,72.60967162418137,18.98236072922584,47.85019088473127,137.19909429066286,658435.4073944062,-10.758506188384155,50.98530701574171
pull,sai,27_aug1,56.795423955872764,16.584096542027734,24.043410462299438,101.47261385249016,175579.59793817226,-4.595689420130962,24.329609362386556
pull,sai,28_aug1,64.28427625047485,17.8446651774232,24.434400876038357,95.70192580794557,401377.2250061224,11.690784306726863,35.02684681024075
pull,sai,29_aug1,63.235426829693516,15.083973213373943,39.369011718893354,104.68734912908694,1087254.8399063956,-16.80583501073382,98.81117484871776
push,sai,1_aug1,65.08703610310538,13.056590551029952,43.56503758178294,103.04150627357224,1069444.357978782,-28.527620800725913,114.67467447734423
push,sai,3_aug1,56.02110524908853,18.545485567428297,32.483067881039986,147.09690385280044,819198.207459938,-13.286763066269605,101.66013049639194
push,sai,5_aug1,53.84624731149579,12.931861080994167,27.785869097319114,89.61721965839814,575906.9236168365,-25.204649899347316,108.36886221196005
push,sai,7_aug1,53.36490071368055,18.391560407197492,27.38978594337862,122.2934522351982,819151.3657934833,-8.898554132887288,124.86334886618647
push,sai,9_aug1,52.02955602607082,16.674666609187327,34.03947886840955,120.29519034202853,654401.9489064397,-1.1481859588105885,105.9547770123044
push,sai,10_aug1,53.58857180110643,20.383744010988394,16.59003559751619,103.17882544515626,803329.8214486438,-15.426554019032247,120.46858679131572
push,sai,12_aug1,51.154231880301204,16.154175172584303,17.03489268759986,92.56498820691196,337951.87093262357,0.40582635557580415,72.74278819980547
push,sai,14_aug1,60.44212965600943,19.33409313213511,36.856112843491225,148.85613099444691,862560.2207435621,-5.053032244179301,102.78571812745624
push,sai,16_aug1,50.90355510563748,19.464592869385307,12.523663584260124,90.6076096982442,763356.7489197379,-26.939332864627325,124.38799984632043
push,sai,18_aug1,48.04681906400118,19.612757835652303,7.529852457982135,130.01501736126477,576475.4091294761,-3.6545296907919336,101.87928371660145
push,sai,19_aug1,64.18997673447404,19.666466923593507,38.341268574534205,171.06669645930515,1086496.9710150007,-0.2691115390588683,129.26699340847233
push,sai,21_aug1,60.70756587940213,21.246358246742275,-0.05120513055631979,155.9589965945381,560324.7208560983,17.15023178354179,61.149597196423606
push,sai,22_aug1,67.37202547933413,19.629336917891322,37.64069719485248,144.91779920922426,1278949.1142236462,12.714033081291408,125.6557466807422
push,sai,24_aug1,53.34970105463943,15.227664073879117,26.256088321268717,94.64236612828245,730200.809753572,-14.134813680656732,120.38264066761367
push,sai,25_aug1,54.80661629848075,18.714818612449765,22.436232449974188,124.01715301672282,958465.2743881664,-8.095827251136647,118.04805424129816
push,sai,26_aug1,48.94155462537795,0.8944447580063484,50.383619956025186,49.19405575894309,59314.11743648788,-0.20185260739101596,-1.5849501345644101
t_arm,akshat,1_aug1,131.81150331217813,54.702704532520954,33.66991443550999,266.5456521956621,3090541.637965257,68.34651598986956,63.97603165498019
t_arm,akshat,2_aug1,133.1753031090557,54.078099424409935,35.42526780678996,267.2975218550304,3096906.6601024,100.30458964390922,61.68045233265112
t_arm,akshat,3_aug1,134.2300632873604,49.97605975348987,51.7925466177834,252.1392810019461,2891272.0026050294,115.92310633024148,58.683913926335826
t_arm,akshat,4_aug1,124.89770185857982,48.47444560360957,39.50294531306458,250.06532259686918,2691586.1349782264,69.81439526045793,68.62165731201294
t_arm,akshat,5_aug1,127.49254484149374,50.31459104323698,15.216640973463871,222.38417316832067,2839037.3954205867,90.36058039393575,81.9036421446167
t_arm,akshat,6_aug1,111.92658631569209,46.41765662054414,44.17227474816402,210.6902219097779,2382462.643589057,101.58322853903852,73.5708091692522
t_arm,akshat,7_aug1,119.61290249436509,59.962111570009945,39.00536142148761,275.2310858528984,2817435.829496489,132.31992710154478,66.56049409773969
